ID,parcelle(PC/PF),site(1-2),plot,Etiquette N°,Activité alimentaire
PC-1-11,PC,1,1,1,0
PC-1-12,PC,1,1,2,0
PC-1-13,PC,1,1,3,2
PC-1-14,PC,1,1,4,0
PC-1-15,PC,1,1,5,2
PC-1-21,PC,1,2,1,0
PC-1-22,PC,1,2,2,0
PC-1-23,PC,1,2,3,0
PC-1-24,PC,1,2,4,0
PC-1-25,PC,1,2,5,0
PC-1-31,PC,1,3,1,0
PC-1-32,PC,1,3,2,0
PC-1-33,PC,1,3,3,0
PC-1-34,PC,1,3,4,1
PC-1-35,PC,1,3,5,1
PC-1-41,PC,1,4,1,0
PC-1-42,PC,1,4,2,0
PC-1-43,PC,1,4,3,1
PC-1-44,PC,1,4,4,1
PC-1-45,PC,1,4,5,0
PC-1-51,PC,1,5,1,0
PC-1-52,PC,1,5,2,1
PC-1-53,PC,1,5,3,0
PC-1-54,PC,1,5,4,0
PC-1-55,PC,1,5,5,1
PC-2-11,PC,2,1,1,0
PC-2-12,PC,2,1,2,0
PC-2-13,PC,2,1,3,0
PC-2-14,PC,2,1,4,0
PC-2-15,PC,2,1,5,0
PC-2-21,PC,2,2,1,0
PC-2-22,PC,2,2,2,0
PC-2-23,PC,2,2,3,0
PC-2-24,PC,2,2,4,0
PC-2-25,PC,2,2,5,0
PC-2-31,PC,2,3,1,0
PC-2-32,PC,2,3,2,0
PC-2-33,PC,2,3,3,0
PC-2-34,PC,2,3,4,0
PC-2-35,PC,2,3,5,0
PC-2-41,PC,2,4,1,0
PC-2-42,PC,2,4,2,0
PC-2-43,PC,2,4,3,0
PC-2-44,PC,2,4,4,0
PC-2-45,PC,2,4,5,1
PC-2-51,PC,2,5,1,0
PC-2-52,PC,2,5,2,0
PC-2-53,PC,2,5,3,0
PC-2-54,PC,2,5,4,0
PC-2-55,PC,2,5,5,0
PF-11-1,PF,1,1,1,0
PF-11-2,PF,1,1,2,0
PF-11-3,PF,1,1,3,0
PF-11-4,PF,1,1,4,0
PF-11-5,PF,1,1,5,2
PF-12-1,PF,1,2,1,0
PF-12-2,PF,1,2,2,1
PF-12-3,PF,1,2,3,0
PF-12-4,PF,1,2,4,0
PF-12-5,PF,1,2,5,0
PF-13-1,PF,1,3,1,0
PF-13-2,PF,1,3,2,0
PF-13-3,PF,1,3,3,0
PF-13-4,PF,1,3,4,0
PF-13-5,PF,1,3,5,13
PF-14-1,PF,1,4,1,1
PF-14-2,PF,1,4,2,0
PF-14-3,PF,1,4,3,0
PF-14-4,PF,1,4,4,0
PF-14-5,PF,1,4,5,0
PF-15-1,PF,1,5,1,0
PF-15-2,PF,1,5,2,1
PF-15-3,PF,1,5,3,1
PF-15-4,PF,1,5,4,1
PF-15-5,PF,1,5,5,0
PF-21-1,PF,2,1,1,2
PF-21-2,PF,2,1,2,0
PF-21-3,PF,2,1,3,0
PF-21-4,PF,2,1,4,0
PF-21-5,PF,2,1,5,0
PF-22-1,PF,2,2,1,0
PF-22-2,PF,2,2,2,0
PF-22-3,PF,2,2,3,0
PF-22-4,PF,2,2,4,0
PF-22-5,PF,2,2,5,0
PF-23-1,PF,2,3,1,0
PF-23-2,PF,2,3,2,0
PF-23-3,PF,2,3,3,0
PF-23-4,PF,2,3,4,4
PF-23-5,PF,2,3,5,1
PF-24-1,PF,2,4,1,0
PF-24-2,PF,2,4,2,0
PF-24-3,PF,2,4,3,0
PF-24-4,PF,2,4,4,0
PF-24-5,PF,2,4,5,0
PF-25-1,PF,2,5,1,0
PF-25-2,PF,2,5,2,0
PF-25-3,PF,2,5,3,0
PF-25-4,PF,2,5,4,0
PF-25-5,PF,2,5,5,1