Code,System,Plot,Sampling point,Mesh,Tx_decompo_g_par_jr,Tx_decompo_%_jr
PF11f,PF,1,1,fine,"0,011765","0,26061601"
PF12f,PF,1,2,fine,"0,015941","0,37849059"
PF13f,PF,1,3,fine,"0,003044","0,06856591"
PF14f,PF,1,4,fine,"0,003353","0,07639397"
PF15f,PF,1,5,fine,"0,006912","0,15518568"
PF11c,PF,1,1,coarse,"0,070868","4,14004876"
PF12c,PF,1,2,coarse,"0,044779","1,57887501"
PF13c,PF,1,3,coarse,"0,015912","0,39753018"
PF14c,PF,1,4,coarse,"0,019397","0,49171007"
PF15c,PF,1,5,coarse,"0,017926","0,4373017"
PF21f,PF,2,1,fine,"0,008691","0,21543274"
PF22f,PF,2,2,fine,"0,0055","0,11836888"
PF23f,PF,2,3,fine,"0,00575","0,12390225"
PF24f,PF,2,4,fine,"0,0075","0,176975"
PF25f,PF,2,5,fine,"0,006897","0,15315122"
PF21c,PF,2,1,coarse,"0,033426","1,07905813"
PF22c,PF,2,2,coarse,"0,008382","0,18765312"
PF23c,PF,2,3,coarse,"0,008926","0,19242715"
PF24c,PF,2,4,coarse,"0,00925","0,20076633"
PF25c,PF,2,5,coarse,"0,018956","0,47642678"
PC11f,SAF,1,1,fine,"0,015397","0,39734817"
PC12f,SAF,1,2,fine,"0,002912","0,06417423"
PC13f,SAF,1,3,fine,"0,013676","0,33517875"
PC14f,SAF,1,4,fine,"0,001824","0,03998338"
PC15f,SAF,1,5,fine,"0,033441","1,13750845"
PC11c,SAF,1,1,coarse,"0,014941","0,36802435"
PC12c,SAF,1,2,coarse,"0,008853","0,19357468"
PC13c,SAF,1,3,coarse,"0,013662","0,35020455"
PC14c,SAF,1,4,coarse,"0,003471","0,08107116"
PC15c,SAF,1,5,coarse,"0,035912","1,22817746"
PC21f,SAF,2,1,fine,"0,006","0,12958951"
PC22f,SAF,2,2,fine,"0,025353","0,72215538"
PC23f,SAF,2,3,fine,"0,004574","0,10466567"
PC24f,SAF,2,4,fine,"0,025294","0,71418767"
PC25f,SAF,2,5,fine,"0,003618","0,07876604"
PC21c,SAF,2,1,coarse,"0,008147","0,18858578"
PC22c,SAF,2,2,coarse,"0,041544","1,41790866"
PC23c,SAF,2,3,coarse,"0,042676","1,48162846"
PC24c,SAF,2,4,coarse,"0,014485","0,36101596"
PC25c,SAF,2,5,coarse,"0,007147","0,16278396"