ID,parcelle(PC/PF),site(1-2),TSBF (1-5),couche(L_10_20),snails,slugs,planarians,"lumbricina_
oligochaetes","tubificina_
oligochaetes",hirudinea,"dipteran_
larvae","curculionoid_
coleopteran_larvae","eruciform_
larvae","melolonthoid_
larvae","caraboid_
larvae","cucujoid_
larvae",orthoptera,blattoptera,coleoptera,dermaptera,heteroptera,collembolans,thysanoura,diploura,protoura,hymenoptera,isoptera,araneae,scorpions,pseudoscorpions,opilions,acarina,isopoda,symphyla,chilopoda,diplopoda,neuroptera,lepidopteran_larvae,amblypygi,Oeuf_jaune,Oeuf_vert,unknown,echantilloneurs,date,Comment,,,,,
PC-1-5-L,SAF,1,5,L,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,2,0,2,0,0,0,0,11,0,0,0,0,0,0,0,0,0,JE+JU,17092024,,,,,,
PC-1-5-10,SAF,1,5,0-10,1,0,0,22,0,0,0,1,1,0,0,0,0,4,7,0,0,0,0,0,0,2,0,1,0,0,0,0,3,0,4,0,0,0,0,21,4,2,H+P,17092024,pupe bizarre et potentiel oeuf de ver,,,,,
PC-1-5-20,SAF,1,5,10-20,0,0,0,0,5,0,4,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,A+M,17092024,,,,,,
PC-1-4-L,SAF,1,4,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H+P,17/09/24,Boules bizarres : surement des nodosités,,,,,
PC-1-4-10,SAF,1,4,0-10,1,0,0,7,0,0,0,0,0,0,4,1,0,1,0,0,1,0,0,2,0,3,2,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,A+M,17/09/24,larve avec pinces non identifiée,,,,,
PC-1-4-20,SAF,1,4,10-20,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,3,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,H+P,17/09/24,1 diplopode violet ,,,,,
PC-1-3-L,SAF,1,3,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,1,1,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,JE+JU,17/09/24,,,,,,
PC-1-3-10,SAF,1,3,0-10,0,0,0,13,2,0,0,0,0,3,0,0,0,0,0,0,1,0,16,2,0,6,1,0,0,0,0,0,0,0,6,3,0,0,0,1,1,0,H,17/09/24,,,,,,
PC-1-3-20,SAF,1,3,10-20,1,0,0,11,209,0,2,0,0,0,0,1,0,2,2,0,0,1,0,0,0,6,0,3,0,0,0,1,0,0,0,2,0,0,0,9,4,1,A+M,17/09/24,larve avec pinces non identifiées,,,,,
PC-1-2-L,SAF,1,2,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,2,0,8,0,0,0,0,5,0,0,0,0,0,0,0,0,0,A,17/09/24,,,,,,
PC-1-2-10,SAF,1,2,0-10,1,0,0,11,0,0,2,0,1,0,0,1,0,4,13,0,0,0,0,1,0,3,34,2,0,0,0,0,34,2,6,5,0,0,0,29,31,3,P+H,17/09/24,"parmis les NID: 1 carcasse inconnue remplie de terre, une tête inconnue et 1 bouillis inidentifiables",,,,,
PC-1-2-20,SAF,1,2,10-20,0,0,0,19,18,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0,0,0,194,0,0,JE,17/09/24,oeufs jaunes et verts non distinguées + parmis les lumbricina (vers de terre): 4 oeufs pas sûrs. ,,,,,
PC-1-1-L,SAF,1,1,L,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,1,0,0,2,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,M+A,17/09/24,diptère chelou NID,,,,,
PC-1-1-10,SAF,1,1,0-10,1,0,0,23,3,0,0,0,0,1,0,2,0,3,1,0,1,2,3,5,0,5,100,1,0,0,0,0,20,0,8,2,0,0,0,0,1,3,A+M,17/09/24,3 NIDS: 2 larves NIDS + 1 NID supplémentaires,,,,,
PC-1-1-20,SAF,1,1,10-20,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,8,5,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,P,17/09/24,,,,,,
PF-2-5-L,PF,2,5,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,A+M,18/09/24,,,,,,
PF-2-5-10,PF,2,5,0-10,1,0,0,12,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,14,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,A+M,18/09/24,,,,,,
PF-2-5-20,PF,2,5,10-20,0,0,0,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,A,18/09/24,3 oeufs de lumbricina,,,,,
PF-2-4-L,PF,2,4,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A+M,18/09/24,,,,,,
PF-2-4-10,PF,2,4,0-10,0,0,0,9,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,21,13,7,0,0,0,1,0,0,0,3,0,0,0,0,0,0,A+M,18/09/24,4 oeufs de vers de terre,,,,,
PF-2-4-20,PF,2,4,10-20,0,0,0,7,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,A,18/09/24,,,,,,
PF-2-3-L,PF,2,3,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A+M,18/09/24,,,,,,
PF-2-3-10,PF,2,3,0-10,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,164,1,0,0,0,2,0,0,6,0,0,0,0,0,0,0,I+JU,18/09/24,dont 39 Nymphes d'Isoptora,,,,,
PF-2-3-20,PF,2,3,10-20,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A+M,18/09/24,3 oeufs de lumbricina,,,,,
PF-2-2-L,PF,2,2,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A+M,18/09/24,,,,,,
PF-2-2-10,PF,2,2,0-10,0,0,0,20,0,0,8,0,0,0,1,1,1,1,1,0,0,2,0,3,0,10,78,3,0,3,0,0,2,0,4,3,0,0,1,0,0,6,H+P,18/09/24,4 oeufs de ver de terre. NIDs: 2 larves + 2 pupes + 1 patte de mygale + insecte poilu,,,,,
PF-2-2-20,PF,2,2,10-20,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,A+M,18/09/24,1 oeufs de vers de terre,,,,,
PF-2-1-L,PF,2,1,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I,18/09/24,,,,,,
PF-2-1-10,PF,2,1,0-10,0,0,0,15,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,1,0,9,22,2,0,0,0,2,1,2,1,4,0,1,0,0,0,0,I,18/09/24,1 cocon de lumbricina,,,,,
PF-2-1-20,PF,2,1,10-20,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,18/09/24,3 oeufs de lumbricina,,,,,
